_id,awayTeam,homeTeam,competition,date,totalScores,home,away,firstQuarterAwayScore,firstQuarterHomeScore,secondQuarterAwayScore,secondQuarterHomeScore,thirdQuarterAwayScore,thirdQuarterHomeScore,fourthQuarterAwayScore,fourthQuarterHomeScore
492947127,Miami Heat (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1701051600,186,90,96,30,24,28,16,21,25,17,25
492914905,Cleveland Cavaliers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1701034800,200,96,104,27,17,25,29,29,17,23,33
492887555,Cleveland Cavaliers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1701025200,209,110,99,29,27,29,31,22,26,19,26
492794985,Philadelphia 76ers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1701001200,201,119,82,23,32,17,37,23,24,19,26
493069390,Brooklyn Nets (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1701104400,203,97,106,29,19,23,25,33,20,21,33
493077719,Philadelphia 76ers (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1701106800,184,107,77,18,36,26,30,16,26,17,15
492703009,New York Knicks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700965200,204,107,97,33,18,21,32,21,34,22,23
492902642,Boston Celtics (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1701030000,206,94,112,32,18,30,28,23,26,27,22
492693993,Boston Celtics (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700960400,197,102,95,23,28,23,15,27,36,22,23
492974905,Brooklyn Nets (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1701068400,191,92,99,26,29,27,25,20,23,26,15
492961391,New York Knicks (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1701061200,195,114,81,23,24,17,28,18,30,23,32
492942882,Cleveland Cavaliers (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1701049200,205,93,112,27,29,27,21,35,21,23,22
492908071,Brooklyn Nets (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1701032400,217,118,99,29,32,28,24,25,33,17,29
492707085,Atlanta Hawks (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1700967600,182,101,81,17,22,22,27,21,36,21,16
493028401,Philadelphia 76ers (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1701090000,206,92,114,32,19,33,30,30,20,19,23
493022891,Atlanta Hawks (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1701087600,202,108,94,29,27,25,20,18,33,22,28
492970018,Miami Heat (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1701066000,200,99,101,30,21,28,25,19,23,24,30
492861965,Boston Celtics (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1701018000,216,103,113,28,22,24,30,37,22,24,29
492731732,Miami Heat (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700979600,198,103,95,28,27,20,31,26,16,21,29
492677667,Atlanta Hawks (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700953200,201,97,104,25,26,25,26,24,16,30,29
492985263,Miami Heat (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1701073200,198,101,97,21,18,23,29,23,27,30,27
492776153,Atlanta Hawks (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700996400,210,109,101,19,27,32,29,28,27,22,26
493054325,Philadelphia 76ers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1701099600,181,98,83,23,24,24,25,24,22,12,27
492958049,Brooklyn Nets (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1701058800,186,99,87,27,30,25,29,24,20,11,20
492950753,Atlanta Hawks (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1701054000,213,114,99,24,36,32,25,22,27,21,26
493034100,Cleveland Cavaliers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1701092400,217,105,112,31,21,33,29,24,31,24,24
492934734,Miami Heat (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1701044400,213,110,103,18,29,24,36,27,23,34,22
492720624,Boston Celtics (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700974800,189,88,101,31,22,20,28,22,21,28,17
492689184,Milwaukee Bucks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700958000,232,121,111,25,30,39,24,21,37,26,30
492924745,Philadelphia 76ers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1701039600,218,114,104,26,22,21,30,26,31,31,31
493098697,Miami Heat (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1701114000,189,90,99,18,21,27,18,26,22,28,29
493085064,Boston Celtics (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1701109200,203,104,99,20,26,18,31,35,24,26,23
493105764,Atlanta Hawks (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1701116400,207,97,110,28,27,26,24,27,23,29,23
492880576,Miami Heat (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1701022800,187,98,89,26,22,22,24,12,27,29,25
493003982,Cleveland Cavaliers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1701080400,203,94,109,35,22,21,30,30,23,23,19
492786307,Boston Celtics (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700998800,214,110,104,26,27,28,26,25,28,25,29
492761528,Boston Celtics (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700991600,206,94,112,29,28,18,21,33,24,32,21
492716332,Milwaukee Bucks (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1700972400,218,98,120,28,27,30,24,30,22,32,25
492682786,Philadelphia 76ers (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700955600,196,100,96,24,23,21,23,24,29,27,25
492990968,Philadelphia 76ers (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1701075600,223,113,110,29,27,23,21,30,36,28,29
492895521,Philadelphia 76ers (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1701027600,210,115,95,24,30,32,25,16,25,23,35
492802722,Atlanta Hawks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1701003600,197,94,103,26,20,25,25,26,28,26,21
492769459,Miami Heat (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1700994000,193,108,85,26,23,20,22,17,29,22,34
492711564,Philadelphia 76ers (cyber),Miami Heat (cyber),NBA 2K24. Cyber League,1700970000,176,80,96,23,22,27,18,25,17,21,23
492920040,Boston Celtics (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1701037200,201,94,107,31,19,24,25,26,19,26,31
492748795,Miami Heat (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1700986800,187,100,87,23,28,16,28,22,17,26,27
492698935,Philadelphia 76ers (cyber),Brooklyn Nets (cyber),NBA 2K24. Cyber League,1700962800,186,83,103,25,20,26,18,29,24,23,21
493016218,Brooklyn Nets (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1701085200,207,118,89,20,32,26,25,27,32,16,29
492872053,Atlanta Hawks (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1701020400,226,101,125,33,28,29,25,30,29,33,19
492997679,Boston Celtics (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1701078000,215,101,114,23,18,34,26,27,33,30,24
493091365,Cleveland Cavaliers (cyber),New York Knicks (cyber),NBA 2K24. Cyber League,1701111600,205,99,106,31,19,27,25,18,29,30,26
492938713,Boston Celtics (cyber),Milwaukee Bucks (cyber),NBA 2K24. Cyber League,1701046800,226,109,117,30,32,20,29,34,20,33,28
492930094,Brooklyn Nets (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1701042000,215,110,105,21,33,24,21,22,31,38,25
492965641,Atlanta Hawks (cyber),Boston Celtics (cyber),NBA 2K24. Cyber League,1701063600,207,114,93,25,24,31,30,20,33,17,27
492954320,Philadelphia 76ers (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1701056400,203,102,101,27,20,20,25,22,33,32,24
492853563,Miami Heat (cyber),Philadelphia 76ers (cyber),NBA 2K24. Cyber League,1701015600,188,106,82,23,25,21,24,18,26,20,31
492754782,Milwaukee Bucks (cyber),Atlanta Hawks (cyber),NBA 2K24. Cyber League,1700989200,231,109,122,22,32,32,14,28,39,40,24
492736495,Milwaukee Bucks (cyber),Cleveland Cavaliers (cyber),NBA 2K24. Cyber League,1700982000,193,99,94,23,20,21,25,21,30,29,24
